sn,symbol,company_name,ltp,sector,price
288,SMFBS,SMFBS,1709.0,,1709.0
289,SMH,SMH,762.0,,762.0
290,SMHL,SMHL,779.1,,779.1
291,SMJC,SMJC,500.0,,500.0
292,SMPDA,SMPDA,886.0,,886.0
293,SMPDAP,SMPDAP,518.0,,518.0
294,SNLI,SNLI,471.6,,471.6
295,SONA,SONA,410.1,,410.1
296,SPC,SPC,458.8,,458.8
297,SPDL,SPDL,408.0,,408.0
298,SPHL,SPHL,493.3,,493.3
299,SPIL,SPIL,652.0,,652.0
300,SPL,SPL,928.0,,928.0
301,SRLI,SRLI,385.0,,385.0
302,SSHL,SSHL,168.0,,168.0
303,STC,STC,5200.0,,5200.0
304,SWASTIK,SWASTIK,419.9,,419.9
305,SWBBL,SWBBL,796.0,,796.0
306,SWMF,SWMF,687.0,,687.0
307,TAMOR,TAMOR,462.8,,462.8
308,TPC,TPC,326.0,,326.0
309,TRH,TRH,699.9,,699.9
310,TSHL,TSHL,701.8,,701.8
311,TTL,TTL,706.0,,706.0
312,TVCL,TVCL,402.1,,402.1
313,UAIL,UAIL,442.0,,442.0
314,UHEWA,UHEWA,579.5,,579.5
315,ULBSL,ULBSL,3848.5,,3848.5
316,ULHC,ULHC,427.0,,427.0
317,UMHL,UMHL,515.5,,515.5
318,UMRH,UMRH,536.0,,536.0
319,UNHPL,UNHPL,521.9,,521.9
320,UNL,UNL,46500.0,,46500.0
321,UNLB,UNLB,1905.1,,1905.1
322,UPCL,UPCL,355.0,,355.0
323,UPPER,UPPER,175.0,,175.0
324,USHEC,USHEC,486.0,,486.0
325,USHL,USHL,714.0,,714.0
326,USLB,USLB,1924.0,,1924.0
327,VLBS,VLBS,790.0,,790.0
328,VLUCL,VLUCL,549.0,,549.0
329,WNLB,WNLB,1999.0,,1999.0
